batch:4766 | markets_total:129395 | total spent 642510.41 | batch P/L: 171.20 | total P/L: 441497.88 | bank: 446497.88 | next offset: 52600 | timestamp 2025-06-03T21:21:31.345563Z

batch:4767 | markets_total:129410 | total spent 642590.41 | batch P/L: 120.00 | total P/L: 441617.88 | bank: 446617.88 | next offset: 52650 | timestamp 2025-06-04T12:02:10.089786Z

batch:4768 | markets_total:129454 | total spent 642800.41 | batch P/L: 240.00 | total P/L: 441857.88 | bank: 446857.88 | next offset: 52700 | timestamp 2025-06-04T14:57:41.388782Z

batch:4769 | markets_total:129503 | total spent 642933.61 | batch P/L: 116.80 | total P/L: 441974.68 | bank: 446974.68 | next offset: 52750 | timestamp 2025-06-04T18:32:18.819749Z

batch:4770 | markets_total:129519 | total spent 643043.61 | batch P/L: 115.00 | total P/L: 442089.68 | bank: 447089.68 | next offset: 52800 | timestamp 2025-06-04T23:37:20.534298Z

batch:4771 | markets_total:129545 | total spent 643183.61 | batch P/L: 85.00 | total P/L: 442174.68 | bank: 447174.68 | next offset: 52850 | timestamp 2025-06-05T12:19:39.215193Z

batch:4772 | markets_total:129595 | total spent 643303.61 | batch P/L: 30.00 | total P/L: 442204.68 | bank: 447204.68 | next offset: 52900 | timestamp 2025-06-05T16:59:56.131074Z

batch:4773 | markets_total:129645 | total spent 643413.61 | batch P/L: 115.00 | total P/L: 442319.68 | bank: 447319.68 | next offset: 52950 | timestamp 2025-06-05T20:42:00.560822Z

batch:4774 | markets_total:129695 | total spent 643713.61 | batch P/L: 250.00 | total P/L: 442569.68 | bank: 447569.68 | next offset: 53000 | timestamp 2025-06-05T23:13:13.900528Z

batch:4775 | markets_total:129715 | total spent 643863.61 | batch P/L: 100.00 | total P/L: 442669.68 | bank: 447669.68 | next offset: 53050 | timestamp 2025-06-06T09:31:09.901732Z

batch:4776 | markets_total:129764 | total spent 644153.61 | batch P/L: 185.00 | total P/L: 442854.68 | bank: 447854.68 | next offset: 53100 | timestamp 2025-06-06T09:31:14.847635Z

batch:4777 | markets_total:129778 | total spent 644253.61 | batch P/L: 75.00 | total P/L: 442929.68 | bank: 447929.68 | next offset: 53150 | timestamp 2025-06-06T12:56:09.666752Z

batch:4778 | markets_total:129801 | total spent 644433.61 | batch P/L: 120.00 | total P/L: 443049.68 | bank: 448049.68 | next offset: 53200 | timestamp 2025-06-06T17:33:05.520213Z

batch:4779 | markets_total:129830 | total spent 644553.61 | batch P/L: 130.00 | total P/L: 443179.68 | bank: 448179.68 | next offset: 53250 | timestamp 2025-06-06T18:19:51.077426Z

batch:4780 | markets_total:129847 | total spent 644613.61 | batch P/L: 15.00 | total P/L: 443194.68 | bank: 448194.68 | next offset: 53300 | timestamp 2025-06-07T07:22:58.404975Z

batch:4781 | markets_total:129891 | total spent 644673.61 | batch P/L: 15.00 | total P/L: 443209.68 | bank: 448209.68 | next offset: 53350 | timestamp 2025-06-07T23:42:02.750041Z

batch:4782 | markets_total:129941 | total spent 644785.79 | batch P/L: -12.17 | total P/L: 443197.51 | bank: 448197.51 | next offset: 53400 | timestamp 2025-06-08T00:34:57.939026Z

batch:4783 | markets_total:129973 | total spent 645011.79 | batch P/L: 189.00 | total P/L: 443386.51 | bank: 448386.51 | next offset: 53450 | timestamp 2025-06-08T12:29:51.768369Z

batch:4784 | markets_total:130004 | total spent 645099.79 | batch P/L: 32.00 | total P/L: 443418.51 | bank: 448418.51 | next offset: 53500 | timestamp 2025-06-08T15:44:32.421183Z

batch:4785 | markets_total:130014 | total spent 645179.79 | batch P/L: 70.00 | total P/L: 443488.51 | bank: 448488.51 | next offset: 53550 | timestamp 2025-06-09T09:11:48.046336Z

batch:4786 | markets_total:130047 | total spent 645389.79 | batch P/L: 165.00 | total P/L: 443653.51 | bank: 448653.51 | next offset: 53600 | timestamp 2025-06-09T16:42:56.42094Z

batch:4787 | markets_total:130093 | total spent 645710.79 | batch P/L: 81.50 | total P/L: 443735.01 | bank: 448735.01 | next offset: 53650 | timestamp 2025-06-09T17:54:45.839207Z

batch:4788 | markets_total:130140 | total spent 645970.79 | batch P/L: 190.00 | total P/L: 443925.01 | bank: 448925.01 | next offset: 53700 | timestamp 2025-06-09T21:30:15.150174Z

batch:4789 | markets_total:130161 | total spent 646090.79 | batch P/L: 130.00 | total P/L: 444055.01 | bank: 449055.01 | next offset: 53750 | timestamp 2025-06-10T02:12:17.486772Z

batch:4790 | markets_total:130167 | total spent 646130.79 | batch P/L: 35.00 | total P/L: 444090.01 | bank: 449090.01 | next offset: 53800 | timestamp 2025-06-10T13:42:10.675872Z

batch:4791 | markets_total:130216 | total spent 646310.79 | batch P/L: 170.00 | total P/L: 444260.01 | bank: 449260.01 | next offset: 53850 | timestamp 2025-06-10T15:43:37.299714Z

batch:4792 | markets_total:130221 | total spent 646360.79 | batch P/L: 0.00 | total P/L: 444260.01 | bank: 449260.01 | next offset: 53900 | timestamp 2025-06-10T16:50:09.667579Z

batch:4793 | markets_total:130267 | total spent 646598.79 | batch P/L: 132.00 | total P/L: 444392.01 | bank: 449392.01 | next offset: 53950 | timestamp 2025-06-10T17:45:33.964343Z

batch:4794 | markets_total:130303 | total spent 646868.79 | batch P/L: 155.00 | total P/L: 444547.01 | bank: 449547.01 | next offset: 54000 | timestamp 2025-06-10T20:02:02.296465Z

batch:4795 | markets_total:130340 | total spent 647208.79 | batch P/L: 160.00 | total P/L: 444707.01 | bank: 449707.01 | next offset: 54050 | timestamp 2025-06-11T09:14:58.449378Z

batch:4796 | markets_total:130390 | total spent 647468.85 | batch P/L: 215.10 | total P/L: 444922.10 | bank: 449922.10 | next offset: 54100 | timestamp 2025-06-11T15:46:17.411085Z

batch:4797 | markets_total:130440 | total spent 647754.45 | batch P/L: 160.40 | total P/L: 445082.50 | bank: 450082.50 | next offset: 54150 | timestamp 2025-06-11T19:22:55.912917Z

batch:4798 | markets_total:130482 | total spent 647954.45 | batch P/L: 275.00 | total P/L: 445357.50 | bank: 450357.50 | next offset: 54200 | timestamp 2025-06-11T21:57:52.911336Z

batch:4799 | markets_total:130505 | total spent 648134.45 | batch P/L: 95.00 | total P/L: 445452.50 | bank: 450452.50 | next offset: 54250 | timestamp 2025-06-12T00:51:08.414056Z

batch:4800 | markets_total:130508 | total spent 648154.45 | batch P/L: 30.00 | total P/L: 445482.50 | bank: 450482.50 | next offset: 54300 | timestamp 2025-06-12T08:34:52.484922Z

batch:4801 | markets_total:130549 | total spent 648424.45 | batch P/L: 205.00 | total P/L: 445687.50 | bank: 450687.50 | next offset: 54350 | timestamp 2025-06-12T12:58:52.334645Z

batch:4802 | markets_total:130597 | total spent 648794.45 | batch P/L: 280.00 | total P/L: 445967.50 | bank: 450967.50 | next offset: 54400 | timestamp 2025-06-12T15:51:06.874863Z

batch:4803 | markets_total:130641 | total spent 648941.01 | batch P/L: 103.44 | total P/L: 446070.94 | bank: 451070.94 | next offset: 54450 | timestamp 2025-06-12T19:17:03.863652Z

batch:4804 | markets_total:130685 | total spent 649243.47 | batch P/L: 178.69 | total P/L: 446249.63 | bank: 451249.63 | next offset: 54500 | timestamp 2025-06-12T22:46:26.678681Z

